manager_id,manager_name,type,style,strategy,sector
1532,Gresham House,Private Equity,Discretionary,Diversified,ESG
1533,Gresham Investment Management,LongOnly,Active Index,Enhanced Index,Commodity
3943,Greylock Capital Management,Fixed Income,Discretionary,Fundamental,Emerging
1510,Grimaldi Portfolio Solutions,LongOnly,Systematic,Sector,Equity
3743,Groupama Asset Management,Fixed Income,Discretionary,Fundamental,Credit
4048,GROW Funds,Equity LS,Discretionary,Fundamental,Small Cap
1548,Guggenheim Investments,Equity LS,Systematic,Fundamental,US
1549,GuidePath,AssetAllocation,Discretionary,Diversified,Fixed Income
1550,GuideStone Funds,Hedge Fund,Fund of Funds,Diversified,Global
1559,H2O,Fixed Income,Discretionary,Fundamental,Credit
1561,Hadron,Event Driven,Discretionary,Multi Strategy,Global
4070,Hafnium Investment,CTA,Systematic,Multi Strategy,Global
1563,Haidar Capital Management,CTA,Discretionary,Fundamental,Global
1567,Hamer Trading,CTA,Systematic,Trend Following,Global
1572,Hanlon,LongOnly,Systematic,Momentum,Equity
1580,HarbourVest,Private Equity,Fund of Funds,Diversified,Global
4104,Harwood Capital Management,Private Equity,Discretionary,Multi Strategy,Global
1592,Hashdex,Crypto,Index,Index,Index
1599,HBK Capital Management,Hedge Fund,Discretionary,Multi Strategy,Global
3815,Hedge Invest,Market Neutral,Discretionary,Fundamental,Europe
1607,HELSINKI CAPITAL PARTNERS,Equity LS,Discretionary,Fundamental,Nordic
1611,Heritage Capital Management,CTA,Systematic,Multi Strategy,Global
1616,HgCapital,Private Equity,Discretionary,Diversified,Global
4421,HGNH International Asset Management,CTA,Systematic,Multi Strategy,Global
1617,HICL,Infrastructure,Discretionary,Diversified,Global
4423,Hillroute Capital,Crypto,Systematic,Crypto LS,Global
1629,Hilton,AssetAllocation,Discretionary,Income,Global
1635,HODLers,Crypto,Discretionary,Digital Asset Allocator,Global
3659,Holland Park,Crypto,Discretionary,Digital Asset Allocator,Global
3761,Holloway Trading,CTA,Discretionary,Fundamental,Agricultural
4051,Hondius Capital Management,CTA,Discretionary,Fundamental,Global
4111,Hook Mill Capital Partners,Equity LS,Discretionary,Fundamental,Consumer
1641,Horizon,AssetAllocation,Discretionary,Diversified,Global
1647,HP Fondsmaglerselskab,Fixed Income,Discretionary,Fundamental,Nordic
3816,HSBC,Hedge Fund,Fund of Funds,Diversified,Global
1651,Hundredfold,AssetAllocation,Discretionary,Alternative,Fixed Income
1653,Hunting Hill Global Capital,Crypto,Discretionary,Crypto LS,Global
1656,Hussman,Equity LS,Systematic,Value,US
4374,Hydra Asset Management,CTA,Discretionary,Option Strategy,Equity
1667,Hyperion Decimus,Crypto,Systematic,Crypto LS,Global
